day,activity,n
2022-01-08,Lesson,3
2022-01-15,Lesson,8
2022-01-22,Lesson,3
2022-01-29,Lesson,7
2022-02-05,Lesson,8
2022-02-12,Lesson,4
2022-02-19,Lesson,5
2022-02-26,Lesson,4
2022-03-05,Lesson,8
2022-03-12,Lesson,7
2022-03-19,Lesson,8
2022-03-26,Lesson,6
2022-04-02,Lesson,9
2022-04-09,Lesson,6
2022-04-23,Lesson,9
2022-05-07,Programmeringsdag,19
2022-05-14,Lesson,11
2022-05-21,Lesson,7
2022-05-22,Hackathon,8
2022-05-28,Lesson,9
2022-06-04,Eftermorsdag,10
2022-06-11,Lesson,4
2022-06-18,Lesson,10
2022-07-02,Lesson,7
2022-07-09,Lesson,5
2022-07-16,Lesson,7
2022-07-23,Lesson,8
2022-07-30,Lesson,10
2022-08-06,Lesson,8
2022-08-13,Lesson,11
2022-08-20,Lesson,13
2022-08-27,Lesson,15
2022-09-03,Lesson,12
2022-09-10,Kulturnatten,13
2022-09-17,Lesson,16
2022-09-24,Lesson,18
2022-10-01,Lesson,15
2022-10-08,Lesson,18
2022-10-15,Lesson,21
2022-10-22,Lesson,14
2022-11-12,Lesson,19
2022-11-19,Efterfarsdag,29
2022-11-26,Lesson,17
2022-12-03,Lesson,17
2022-12-04,Hackathon,5
2022-12-10,Slutpresentation,27
2022-12-17,Lesson,11
2023-01-07,Lesson,13
2023-01-14,Lesson,25
2023-01-21,Lesson,27
2023-01-28,Lesson,24
2023-02-04,Lesson,25
2023-02-11,Lesson,29
2023-02-25,Lesson,18
2023-03-04,Lesson,24
2023-03-11,Lesson,31
2023-03-18,Lesson,25
2023-03-25,Lesson,23
2023-04-15,Lesson,24
2023-04-22,Lesson,19
2023-05-06,Lesson,22
2023-05-13,Lesson,16
2023-05-20,Lesson,14
2023-05-21,Hackathon,12
2023-06-10,Lesson,6
2023-08-26,Lesson,25
2023-09-16,Lesson,27
2023-09-23,Lesson,28
2023-09-30,Lesson,17
2023-10-07,Lesson,27
2023-10-14,Lesson,28
2023-10-21,Lesson,29
2023-11-11,Lesson,22
2023-11-18,Efterfarsdag,35
2023-11-25,Lesson,22
2024-01-13,Lesson,22
2024-01-20,Lesson,37
2024-01-27,Lesson,44
2024-02-03,Lesson,34
2024-02-10,Lesson,35
2024-02-17,Lesson,34
2024-03-09,Lesson,34
2024-03-14,Pi day,2
2024-03-16,Lesson,28
2024-05-11,Lesson,29
2024-05-12,Hackathon,23
2024-05-25,Lesson,25
2024-06-01,Eftermorsdag,38
2024-08-24,Lesson,27
2024-08-31,Lesson,33
2024-09-07,Lesson,21
2024-09-21,Lesson,43
2024-09-28,Lesson,28
2024-10-05,Lesson,38
2024-10-12,Lesson,30
2024-10-19,Lesson,37
2024-11-09,Lesson,38
2024-11-18,Efterfarsdag,49
2024-11-24,Lesson,33
2024-11-30,Lesson,26
2024-12-01,Hackathon,25
2024-12-14,Lesson,20
2025-01-11,Lesson,41
2025-01-18,Lesson,43
2025-01-25,Lesson,44
2025-02-01,Lesson,52
2025-02-08,Lesson,50
2025-03-01,Lesson,46
2025-03-07,Lesson,47
2025-03-15,Lesson,39
2025-03-22,Lesson,40
2025-03-29,Lesson,35
2025-04-05,Lesson,41
2025-04-26,Lesson,37
2025-05-10,Lesson,37
2025-05-17,Lesson,33
2025-05-18,Hackathon,22
2025-08-23,Lesson,64
2025-08-30,Lesson,59
2025-09-05,Lesson,45
2025-09-20,Lesson,49
2025-09-27,Lesson,50
2025-10-04,Lesson,65
2025-10-11,Lesson,58
2025-10-18,Lesson,49
