day,activity,n,course
2022-01-08,Lesson,3,Processing
2022-01-15,Lesson,8,Processing
2022-01-22,Lesson,3,Processing
2022-01-29,Lesson,7,Processing
2022-02-05,Lesson,8,Processing
2022-02-12,Lesson,4,Processing
2022-02-19,Lesson,5,Processing
2022-02-26,Lesson,4,Processing
2022-03-05,Lesson,8,Processing
2022-03-12,Lesson,7,Processing
2022-03-19,Lesson,8,Processing
2022-03-26,Lesson,6,Processing
2022-04-02,Lesson,9,Processing
2022-04-09,Lesson,6,Processing
2022-04-23,Lesson,9,Processing
2022-05-07,Programmeringsdag,19,Processing
2022-05-14,Lesson,11,Processing
2022-05-21,Lesson,7,Processing
2022-05-22,Hackathon,8,Processing
2022-05-28,Lesson,9,Processing
2022-06-04,Eftermorsdag,10,Processing
2022-06-11,Lesson,4,Processing
2022-06-18,Lesson,10,Processing
2022-07-02,Lesson,7,Processing
2022-07-09,Lesson,5,Processing
2022-07-16,Lesson,7,Processing
2022-07-23,Lesson,8,Processing
2022-07-30,Lesson,10,Processing
2022-08-06,Lesson,8,Processing
2022-08-13,Lesson,11,Processing
2022-08-20,Lesson,8,Arduino
2022-08-20,Lesson,5,Processing
2022-08-27,Lesson,9,Arduino
2022-08-27,Lesson,6,Processing
2022-09-03,Lesson,5,Arduino
2022-09-03,Lesson,7,Processing
2022-09-10,Kulturnatten,4,Arduino
2022-09-10,Kulturnatten,9,Processing
2022-09-17,Lesson,4,Arduino
2022-09-17,Lesson,12,Processing
2022-09-24,Lesson,6,Arduino
2022-09-24,Lesson,12,Processing
2022-10-01,Lesson,8,Arduino
2022-10-01,Lesson,7,Processing
2022-10-08,Lesson,9,Arduino
2022-10-08,Lesson,9,Processing
2022-10-15,Lesson,10,Arduino
2022-10-15,Lesson,11,Processing
2022-10-22,Lesson,7,Arduino
2022-10-22,Lesson,7,Processing
2022-11-12,Lesson,7,Arduino
2022-11-12,Lesson,12,Processing
2022-11-19,Efterfarsdag,6,Arduino
2022-11-19,Efterfarsdag,23,Processing
2022-11-26,Lesson,4,Arduino
2022-11-26,Lesson,13,Processing
2022-12-03,Lesson,5,Arduino
2022-12-03,Lesson,12,Processing
2022-12-04,Hackathon,2,Arduino
2022-12-04,Hackathon,3,Processing
2022-12-10,Slutpresentation,11,Arduino
2022-12-10,Slutpresentation,16,Processing
2022-12-17,Lesson,2,Arduino
2022-12-17,Lesson,9,Processing
2023-01-07,Lesson,3,Arduino
2023-01-07,Lesson,2,Blender
2023-01-07,Lesson,8,Processing
2023-01-14,Lesson,3,Arduino
2023-01-14,Lesson,2,Blender
2023-01-14,Lesson,20,Processing
2023-01-21,Lesson,3,Arduino
2023-01-21,Lesson,4,Blender
2023-01-21,Lesson,20,Processing
2023-01-28,Lesson,3,Arduino
2023-01-28,Lesson,3,Blender
2023-01-28,Lesson,18,Processing
2023-02-04,Lesson,4,Arduino
2023-02-04,Lesson,3,Blender
2023-02-04,Lesson,18,Processing
2023-02-11,Lesson,4,Arduino
2023-02-11,Lesson,2,Blender
2023-02-11,Lesson,23,Processing
2023-02-25,Lesson,3,Arduino
2023-02-25,Lesson,2,Blender
2023-02-25,Lesson,13,Processing
2023-03-04,Lesson,5,Arduino
2023-03-04,Lesson,4,Blender
2023-03-04,Lesson,15,Processing
2023-03-11,Lesson,4,Arduino
2023-03-11,Lesson,3,Blender
2023-03-11,Lesson,24,Processing
2023-03-18,Lesson,4,Arduino
2023-03-18,Lesson,2,Blender
2023-03-18,Lesson,19,Processing
2023-03-25,Lesson,3,Arduino
2023-03-25,Lesson,3,Blender
2023-03-25,Lesson,17,Processing
2023-04-15,Lesson,2,Arduino
2023-04-15,Lesson,3,Blender
2023-04-15,Lesson,16,Processing
2023-04-15,Lesson,3,Processing
2023-04-22,Lesson,6,Arduino
2023-04-22,Lesson,5,Blender
2023-04-22,Lesson,8,Processing
2023-05-06,Lesson,3,Arduino
2023-05-06,Lesson,5,Blender
2023-05-06,Lesson,12,Processing
2023-05-06,Lesson,2,Processing
2023-05-13,Lesson,2,Arduino
2023-05-13,Lesson,5,Blender
2023-05-13,Lesson,9,Processing
2023-05-20,Lesson,1,Arduino
2023-05-20,Lesson,4,Blender
2023-05-20,Lesson,9,Processing
2023-05-21,Hackathon,2,Arduino
2023-05-21,Hackathon,5,Blender
2023-05-21,Hackathon,5,Processing
2023-06-10,Lesson,1,Arduino
2023-06-10,Lesson,1,Blender
2023-06-10,Lesson,4,Processing
2023-08-26,Lesson,9,Arduino
2023-08-26,Lesson,5,Blender
2023-08-26,Lesson,11,Processing
2023-09-16,Lesson,6,Arduino
2023-09-16,Lesson,5,Blender
2023-09-16,Lesson,16,Processing
2023-09-23,Lesson,5,Arduino
2023-09-23,Lesson,7,Blender
2023-09-23,Lesson,16,Processing
2023-09-30,Lesson,4,Arduino
2023-09-30,Lesson,4,Blender
2023-09-30,Lesson,9,Processing
2023-10-07,Lesson,5,Arduino
2023-10-07,Lesson,5,Blender
2023-10-07,Lesson,17,Processing
2023-10-14,Lesson,4,Arduino
2023-10-14,Lesson,2,Blender
2023-10-14,Lesson,22,Processing
2023-10-21,Lesson,5,Arduino
2023-10-21,Lesson,4,Blender
2023-10-21,Lesson,20,Processing
2023-11-11,Lesson,6,Arduino
2023-11-11,Lesson,5,Blender
2023-11-11,Lesson,11,Processing
2023-11-18,Efterfarsdag,7,Arduino
2023-11-18,Efterfarsdag,11,Blender
2023-11-18,Efterfarsdag,17,Processing
2023-11-25,Lesson,6,Arduino
2023-11-25,Lesson,4,Blender
2023-11-25,Lesson,12,Processing
2024-01-13,Lesson,2,Arduino
2024-01-13,Lesson,11,Blender
2024-01-13,Lesson,9,Processing
2024-01-20,Lesson,5,Arduino
2024-01-20,Lesson,14,Blender
2024-01-20,Lesson,18,Processing
2024-01-27,Lesson,4,Arduino
2024-01-27,Lesson,16,Blender
2024-01-27,Lesson,24,Processing
2024-02-03,Lesson,5,Arduino
2024-02-03,Lesson,9,Blender
2024-02-03,Lesson,20,Processing
2024-02-10,Lesson,6,Arduino
2024-02-10,Lesson,13,Blender
2024-02-10,Lesson,16,Processing
2024-02-17,Lesson,4,Arduino
2024-02-17,Lesson,10,Blender
2024-02-17,Lesson,20,Processing
2024-03-09,Lesson,4,Arduino
2024-03-09,Lesson,12,Blender
2024-03-09,Lesson,18,Processing
2024-03-14,Pi day,1,Arduino
2024-03-14,Pi day,1,Processing
2024-03-16,Lesson,4,Arduino
2024-03-16,Lesson,11,Blender
2024-03-16,Lesson,13,Processing
2024-05-11,Lesson,3,Arduino
2024-05-11,Lesson,11,Blender
2024-05-11,Lesson,15,Processing
2024-05-12,Hackathon,6,Arduino
2024-05-12,Hackathon,7,Blender
2024-05-12,Hackathon,10,Processing
2024-05-25,Lesson,3,Arduino
2024-05-25,Lesson,10,Blender
2024-05-25,Lesson,12,Processing
2024-06-01,Eftermorsdag,5,Arduino
2024-06-01,Eftermorsdag,15,Blender
2024-06-01,Eftermorsdag,18,Processing
2024-08-24,Lesson,5,Arduino
2024-08-24,Lesson,4,Blender
2024-08-24,Lesson,18,Processing
2024-08-31,Lesson,7,Arduino
2024-08-31,Lesson,7,Blender
2024-08-31,Lesson,19,Processing
2024-09-07,Lesson,5,Arduino
2024-09-07,Lesson,5,Blender
2024-09-07,Lesson,11,Processing
2024-09-21,Lesson,10,Arduino
2024-09-21,Lesson,9,Blender
2024-09-21,Lesson,24,Processing
2024-09-28,Lesson,2,Arduino
2024-09-28,Lesson,12,Blender
2024-09-28,Lesson,14,Processing
2024-10-05,Lesson,5,Arduino
2024-10-05,Lesson,11,Blender
2024-10-05,Lesson,22,Processing
2024-10-12,Lesson,5,Arduino
2024-10-12,Lesson,10,Blender
2024-10-12,Lesson,15,Processing
2024-10-19,Lesson,9,Arduino
2024-10-19,Lesson,10,Blender
2024-10-19,Lesson,18,Processing
2024-11-09,Lesson,9,Arduino
2024-11-09,Lesson,6,Blender
2024-11-09,Lesson,23,Processing
2024-11-18,Efterfarsdag,7,Arduino
2024-11-18,Efterfarsdag,13,Blender
2024-11-18,Efterfarsdag,29,Processing
2024-11-24,Lesson,6,Arduino
2024-11-24,Lesson,10,Blender
2024-11-24,Lesson,17,Processing
2024-11-30,Lesson,4,Arduino
2024-11-30,Lesson,7,Blender
2024-11-30,Lesson,15,Processing
2024-12-01,Hackathon,4,Arduino
2024-12-01,Hackathon,10,Blender
2024-12-01,Hackathon,11,Processing
2024-12-14,Lesson,5,Arduino
2024-12-14,Lesson,2,Blender
2024-12-14,Lesson,13,Processing
2025-01-11,Lesson,7,Arduino
2025-01-11,Lesson,9,Blender
2025-01-11,Lesson,25,Processing
2025-01-18,Lesson,11,Arduino
2025-01-18,Lesson,7,Blender
2025-01-18,Lesson,25,Processing
2025-01-25,Lesson,11,Arduino
2025-01-25,Lesson,11,Blender
2025-01-25,Lesson,22,Processing
2025-02-01,Lesson,13,Arduino
2025-02-01,Lesson,10,Blender
2025-02-01,Lesson,29,Processing
2025-02-08,Lesson,13,Arduino
2025-02-08,Lesson,8,Blender
2025-02-08,Lesson,29,Processing
2025-03-01,Lesson,9,Arduino
2025-03-01,Lesson,12,Blender
2025-03-01,Lesson,1,Laser
2025-03-01,Lesson,24,Processing
2025-03-07,Lesson,10,Arduino
2025-03-07,Lesson,13,Blender
2025-03-07,Lesson,2,Laser
2025-03-07,Lesson,22,Processing
2025-03-15,Lesson,5,Arduino
2025-03-15,Lesson,8,Blender
2025-03-15,Lesson,2,Laser
2025-03-15,Lesson,24,Processing
2025-03-22,Lesson,10,Arduino
2025-03-22,Lesson,10,Blender
2025-03-22,Lesson,20,Processing
2025-03-29,Lesson,8,Arduino
2025-03-29,Lesson,8,Blender
2025-03-29,Lesson,19,Processing
2025-04-05,Lesson,9,Arduino
2025-04-05,Lesson,10,Blender
2025-04-05,Lesson,3,Laser
2025-04-05,Lesson,1,Other
